rank,candidate_id,final_score,retrieval_fit,production_ai,yoe_fit,must_have_skills,vector_db_exp,product_company,ai_skill_count,behavior_score,honeypot_penalty
1,CAND_0046525,0.882795,1.0000,1.0000,1.0000,0.7000,1.0000,0.3000,0.7000,0.9215,0.0000
2,CAND_0077337,0.868635,1.0000,1.0000,1.0000,0.7000,1.0000,0.8000,0.7000,0.8895,0.0500
3,CAND_0071974,0.860575,1.0000,1.0000,1.0000,0.7000,1.0000,0.3000,0.5000,0.8275,0.0000
4,CAND_0055905,0.859682,1.0000,1.0000,1.0000,0.7000,1.0000,0.3000,0.6000,0.7822,0.0000
5,CAND_0081846,0.857230,1.0000,1.0000,1.0000,1.0000,1.0000,0.8000,0.8000,0.8710,0.1000
6,CAND_0011687,0.852715,1.0000,1.0000,1.0000,0.3000,1.0000,0.8000,0.3000,0.9055,0.0000
7,CAND_0079387,0.837650,1.0000,1.0000,1.0000,0.3000,0.8000,0.8000,0.4000,0.9050,0.0000
8,CAND_0010257,0.836340,1.0000,1.0000,1.0000,0.7000,1.0000,0.8000,0.5000,0.7180,0.0500
9,CAND_0072660,0.836177,1.0000,0.6000,1.0000,0.7000,1.0000,0.8000,0.5000,0.7937,0.0000
10,CAND_0068811,0.834515,1.0000,1.0000,1.0000,0.3000,1.0000,0.8000,0.3000,0.7655,0.0000
11,CAND_0010541,0.832765,1.0000,1.0000,1.0000,0.3000,1.0000,0.8000,0.2000,0.7905,0.0000
12,CAND_0033861,0.819685,1.0000,1.0000,1.0000,0.3000,1.0000,0.8000,0.5000,0.5745,0.0000
13,CAND_0088025,0.816925,1.0000,1.0000,1.0000,0.3000,1.0000,0.8000,0.8000,0.8225,0.0500
14,CAND_0099401,0.816260,1.0000,1.0000,1.0000,0.7000,0.5000,0.8000,0.4000,0.6020,0.0000
15,CAND_0061257,0.813700,1.0000,1.0000,1.0000,0.7000,0.5000,0.3000,0.4000,0.8900,0.0000
16,CAND_0046064,0.800500,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,0.2000,0.8500,0.0000
17,CAND_0080766,0.799060,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,0.4000,0.7620,0.0000
18,CAND_0095528,0.798102,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,0.5000,0.7162,0.0000
19,CAND_0015528,0.795940,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,0.4000,0.7380,0.0000
20,CAND_0008425,0.793815,1.0000,1.0000,1.0000,0.7000,0.8000,0.3000,0.7000,0.7755,0.0500
21,CAND_0044222,0.793355,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.5000,0.8335,0.0000
22,CAND_0051630,0.793240,1.0000,0.6000,1.0000,1.0000,0.8000,0.8000,0.7000,0.6480,0.0500
23,CAND_0006567,0.792135,1.0000,0.6000,1.0000,0.7000,0.5000,0.8000,0.5000,0.8395,0.0000
24,CAND_0092278,0.788827,1.0000,1.0000,1.0000,0.3000,1.0000,0.8000,0.6000,0.2987,0.0000
25,CAND_0014440,0.784980,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.3000,0.8460,0.0000
26,CAND_0007411,0.784100,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,0.6000,0.5700,0.0000
27,CAND_0081709,0.781920,1.0000,1.0000,1.0000,0.3000,0.5000,0.8000,0.2000,0.7840,0.0000
28,CAND_0041669,0.781735,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.2000,0.8595,0.0000
29,CAND_0017960,0.781480,1.0000,0.6000,1.0000,0.7000,0.5000,0.8000,0.4000,0.7960,0.0000
30,CAND_0091899,0.779922,0.7000,1.0000,1.0000,0.7000,0.8000,0.8000,0.5000,0.6302,0.0000
31,CAND_0094759,0.776830,1.0000,1.0000,1.0000,0.3000,1.0000,0.3000,0.4000,0.5910,0.0000
32,CAND_0064326,0.776350,1.0000,0.6000,1.0000,0.3000,0.8000,0.8000,0.4000,0.8950,0.0000
33,CAND_0070398,0.775880,1.0000,0.6000,1.0000,0.7000,0.8000,0.3000,0.8000,0.6760,0.0000
34,CAND_0098952,0.772450,1.0000,0.6000,1.0000,0.7000,0.5000,0.8000,0.3000,0.7650,0.0000
35,CAND_0068351,0.770542,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000,0.7000,0.7042,0.1200
36,CAND_0030953,0.770090,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.4000,0.6930,0.0000
37,CAND_0093193,0.768370,0.7000,0.6000,1.0000,0.7000,1.0000,0.8000,0.5000,0.8490,0.0000
38,CAND_0060072,0.768005,1.0000,0.6000,1.0000,0.7000,1.0000,0.8000,0.8000,0.5385,0.0500
39,CAND_0007009,0.766665,1.0000,0.6000,1.0000,0.3000,0.8000,0.8000,0.4000,0.8205,0.0000
40,CAND_0083307,0.766385,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.4000,0.6645,0.0000
41,CAND_0002344,0.766065,0.7000,1.0000,0.9625,0.7000,0.5000,0.8000,0.6000,0.7505,0.0000
42,CAND_0076163,0.765240,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.3000,0.8480,0.0200
43,CAND_0018499,0.763500,1.0000,1.0000,1.0000,0.7000,1.0000,0.3000,0.5000,0.8500,0.1000
44,CAND_0067866,0.762250,0.7000,1.0000,1.0000,0.3000,1.0000,0.8000,0.2000,0.8250,0.0000
45,CAND_0077067,0.761270,0.7000,1.0000,1.0000,0.3000,1.0000,0.8000,0.3000,0.7790,0.0000
46,CAND_0088385,0.761145,0.7000,1.0000,1.0000,0.7000,0.5000,0.8000,0.5000,0.7165,0.0000
47,CAND_0040178,0.760230,0.7000,1.0000,1.0000,0.3000,1.0000,0.8000,0.3000,0.7710,0.0000
48,CAND_0072688,0.759708,0.7000,1.0000,1.0000,0.3000,0.8000,0.8000,0.3000,0.9208,0.0000
49,CAND_0062247,0.758880,1.0000,0.6000,1.0000,0.3000,1.0000,0.3000,0.5000,0.8760,0.0000
50,CAND_0056058,0.758717,0.7000,1.0000,0.8000,0.7000,0.8000,0.8000,0.5000,0.6517,0.0000
51,CAND_0086151,0.756900,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.3000,0.6300,0.0000
52,CAND_0060303,0.756090,1.0000,1.0000,0.9875,0.0000,0.8000,0.8000,0.2000,0.6430,0.0000
53,CAND_0092255,0.755935,0.7000,1.0000,1.0000,0.3000,1.0000,0.8000,0.4000,0.6995,0.0000
54,CAND_0037980,0.755255,1.0000,1.0000,1.0000,0.7000,0.5000,0.8000,0.5000,0.8635,0.1000
55,CAND_0093883,0.753422,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.1000,0.6802,0.0000
56,CAND_0005260,0.751352,1.0000,1.0000,1.0000,0.7000,0.5000,0.3000,0.8000,0.6412,0.0500
57,CAND_0043228,0.749830,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.4000,0.6910,0.0200
58,CAND_0061265,0.749315,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.3000,0.7255,0.0200
59,CAND_0087316,0.748870,1.0000,0.6000,0.8875,0.7000,0.5000,0.8000,0.4000,0.6490,0.0000
60,CAND_0066999,0.747395,1.0000,0.6000,1.0000,0.7000,1.0000,0.3000,0.4000,0.8415,0.0500
61,CAND_0036184,0.747390,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.4000,0.9030,0.0500
62,CAND_0006557,0.747042,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.3000,0.5542,0.0000
63,CAND_0053591,0.746215,1.0000,0.6000,1.0000,0.3000,1.0000,0.3000,0.3000,0.8555,0.0000
